ID;Nome Fantasia;% de mercado;Nacionalidade;Associado;Tipo de Associado;Cidade;Estado;País
1208;Empresa 1208;0,00%;Nacional;Sim;Efetivo;Campinas;São Paulo;Brasil
1209;Empresa 1209;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Bragança Paulista;São Paulo;Brasil
1210;Empresa 1210;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Lauro de Freitas;Bahia;Brasil
1211;Empresa 1211;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Itupeva;São Paulo;Brasil
1212;Empresa 1212;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Rio de Janeiro;Rio de Janeiro;Brasil
1213;Empresa 1213;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Barueri;São Paulo;Brasil
1214;Empresa 1214;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;São Caetano do Sul;São Paulo;Brasil
1215;Empresa 1215;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Valinhos;São Paulo;Brasil
1216;Empresa 1216;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Maringá;Paraná;Brasil
1217;Empresa 1217;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Santa Rita do Passa Quatro;São Paulo;Brasil
1218;Empresa 1218;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Duque de Caxias;Rio de Janeiro;Brasil
1221;Empresa 1221;0,00%;Nacional;Sim;Fornecedor de Bens e Serviços;Rio de Janeiro;Rio de Janeiro;Brasil
1222;Empresa 1222;0,00%;;Sim;Efetivo;Manaus;Amazonas;Brasil
1224;Empresa 1224;0,00%;Multinacional;Sim;Cooperador;São Paulo;São Paulo;
1225;Empresa 1225;0,00%;;Sim;Fornecedor de Bens e Serviços;Guarulhos;São Paulo;Brasil
1226;Empresa 1226;0,00%;;Sim;Fornecedor de Bens e Serviços;Ribeirão Preto;São Paulo;
1227;Empresa 1227;0,00%;Nacional;Sim;Efetivo;Diadema;São Paulo;Brasil
1228;Empresa 1228;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
1229;Empresa 1229;0,00%;;Sim;Fornecedor de Bens e Serviços;Rio de Janeiro;Rio de Janeiro;Brasil
1239;Empresa 1239;0,00%;Multinacional;Sim;Efetivo;;;
1242;Empresa 1242;0,00%;Multinacional;sim;Cooperador;;;
1247;Empresa 1247;0,00%;;Sim;Fornecedor de Bens e Serviços;;;
1253;Empresa 1253;0,00%;;Sim;Fornecedor de Bens e Serviços;;;
1255;Empresa 1255;0,00%;Multinacional;Sim;Efetivo;;;
1257;Empresa 1257;0,00%;Nacional;Sim;Cooperador;;;
1263;Empresa 1263;0,00%;;Sim;Fornecedor de Bens e Serviços;;;
1286;Empresa 1286;0,00%;Nacional;Sim;;;;
1288;Empresa 1288;0,00%;;Sim;Fornecedor de Bens e Serviços;;;
1290;Empresa 1290;0,00%;Multinacional;Sim;Cooperador;;;
1301;Empresa 1301;0,00%;;Sim;Fornecedor de Bens e Serviços;;;
